dataname,newdataname,newdatabegin,newdataend,newdataemotion
Ses04F_impro06,Ses04F_impro06_F000,23.3151,25.3300,sad
Ses04F_impro06,Ses04F_impro06_F001,55.0700,67.0700,sad
Ses04F_impro06,Ses04F_impro06_F002,77.8679,100.0500,sad
Ses04F_impro06,Ses04F_impro06_F003,111.4400,113.3900,sad
Ses04F_impro06,Ses04F_impro06_F004,122.8600,138.7700,sad
Ses04F_impro06,Ses04F_impro06_F005,138.9000,154.1900,sad
Ses04F_impro06,Ses04F_impro06_F006,156.9900,159.9400,sad
Ses04F_impro06,Ses04F_impro06_F007,184.4700,187.3903,sad
Ses04F_impro06,Ses04F_impro06_F008,197.9400,206.1200,hap
Ses04F_impro06,Ses04F_impro06_F009,206.7500,209.8000,hap
Ses04F_impro06,Ses04F_impro06_F010,223.6300,225.4900,sad
Ses04F_impro06,Ses04F_impro06_M000,11.4830,23.4953,sad
Ses04F_impro06,Ses04F_impro06_M001,30.9000,55.2600,sad
Ses04F_impro06,Ses04F_impro06_M002,66.9200,75.8044,sad
Ses04F_impro06,Ses04F_impro06_M003,100.4300,102.0800,sad
Ses04F_impro06,Ses04F_impro06_M004,102.6700,109.4300,neu
Ses04F_impro06,Ses04F_impro06_M005,109.4300,113.4500,sad
Ses04F_impro06,Ses04F_impro06_M006,113.4500,117.6100,neu
Ses04F_impro06,Ses04F_impro06_M007,117.7100,124.6600,neu
Ses04F_impro06,Ses04F_impro06_M008,154.5700,156.8900,sad
Ses04F_impro06,Ses04F_impro06_M009,160.2640,172.4400,sad
Ses04F_impro06,Ses04F_impro06_M010,176.0400,178.3600,sad
Ses04F_impro06,Ses04F_impro06_M011,191.1400,198.3800,sad
Ses04F_impro06,Ses04F_impro06_M012,205.6900,206.9300,neu
Ses04F_impro06,Ses04F_impro06_M013,208.2700,223.4500,sad
Ses04F_impro06,Ses04F_impro06_M014,225.3100,227.0800,sad
Ses04M_script01_1,Ses04M_script01_1_F000,8.3600,13.4200,neu
Ses04M_script01_1,Ses04M_script01_1_F001,14.1400,17.9500,xxx
Ses04M_script01_1,Ses04M_script01_1_F002,19.1300,20.9592,sur
Ses04M_script01_1,Ses04M_script01_1_F003,28.1300,31.3423,xxx
Ses04M_script01_1,Ses04M_script01_1_F004,38.9463,41.2236,xxx
Ses04M_script01_1,Ses04M_script01_1_F005,44.8300,48.2872,xxx
Ses04M_script01_1,Ses04M_script01_1_F006,51.3500,58.9000,xxx
Ses04M_script01_1,Ses04M_script01_1_F007,60.7100,65.5200,sad
Ses04M_script01_1,Ses04M_script01_1_F008,71.4600,73.2221,sur
Ses04M_script01_1,Ses04M_script01_1_F009,77.3300,79.9800,fru
Ses04M_script01_1,Ses04M_script01_1_F010,85.1700,87.4000,fru
Ses04M_script01_1,Ses04M_script01_1_F011,104.0500,106.2100,ang
Ses04M_script01_1,Ses04M_script01_1_F012,106.7200,109.4900,ang
Ses04M_script01_1,Ses04M_script01_1_F013,112.1200,120.3900,ang
Ses04M_script01_1,Ses04M_script01_1_F014,121.8400,129.1800,xxx
Ses04M_script01_1,Ses04M_script01_1_F015,132.7200,134.7331,neu
Ses04M_script01_1,Ses04M_script01_1_F016,135.7800,140.3300,xxx
Ses04M_script01_1,Ses04M_script01_1_F017,141.7500,144.6100,neu
Ses04M_script01_1,Ses04M_script01_1_F018,146.7000,149.7400,ang
Ses04M_script01_1,Ses04M_script01_1_F019,151.3089,154.9400,neu
Ses04M_script01_1,Ses04M_script01_1_F020,157.1000,159.3310,fru
Ses04M_script01_1,Ses04M_script01_1_F021,167.4800,171.6000,ang
Ses04M_script01_1,Ses04M_script01_1_F022,172.1200,176.8251,ang
Ses04M_script01_1,Ses04M_script01_1_F023,176.9217,183.3008,fru
Ses04M_script01_1,Ses04M_script01_1_F024,183.3700,185.8621,fru
Ses04M_script01_1,Ses04M_script01_1_F025,195.2400,198.6000,xxx
Ses04M_script01_1,Ses04M_script01_1_F026,198.9000,201.5680,xxx
Ses04M_script01_1,Ses04M_script01_1_F027,203.0900,208.0920,neu
Ses04M_script01_1,Ses04M_script01_1_F028,218.9100,222.0700,neu
Ses04M_script01_1,Ses04M_script01_1_F029,223.1500,225.7400,ang
Ses04M_script01_1,Ses04M_script01_1_F030,226.5200,240.3800,xxx
Ses04M_script01_1,Ses04M_script01_1_F031,243.3600,244.9800,fru
Ses04M_script01_1,Ses04M_script01_1_F032,249.4700,252.1500,neu
Ses04M_script01_1,Ses04M_script01_1_F033,252.9400,255.1616,neu
Ses04M_script01_1,Ses04M_script01_1_F034,272.6600,274.7000,ang
Ses04M_script01_1,Ses04M_script01_1_F035,281.7300,283.8190,ang
Ses04M_script01_1,Ses04M_script01_1_F036,286.6000,289.5900,ang
Ses04M_script01_1,Ses04M_script01_1_F037,291.2400,293.3300,ang
Ses04M_script01_1,Ses04M_script01_1_F038,309.5768,314.9893,xxx
