dataname,newdataname,newdatabegin,newdataend,newdataemotion
Ses05M_impro03,Ses05M_impro03_F000,6.6500,8.0900,neu
Ses05M_impro03,Ses05M_impro03_F001,10.6700,12.8900,sur
Ses05M_impro03,Ses05M_impro03_F002,12.9400,13.9600,exc
Ses05M_impro03,Ses05M_impro03_F003,15.9000,19.3500,exc
Ses05M_impro03,Ses05M_impro03_F004,19.6200,22.3700,exc
Ses05M_impro03,Ses05M_impro03_F005,29.8700,31.8200,hap
Ses05M_impro03,Ses05M_impro03_F006,54.1100,55.4900,neu
Ses05M_impro03,Ses05M_impro03_F007,101.8300,106.0700,exc
Ses05M_impro03,Ses05M_impro03_F008,106.1400,108.3300,hap
Ses05M_impro03,Ses05M_impro03_F009,108.5100,111.0100,hap
Ses05M_impro03,Ses05M_impro03_F010,111.0200,112.3300,hap
Ses05M_impro03,Ses05M_impro03_F011,114.1200,117.9500,hap
Ses05M_impro03,Ses05M_impro03_F012,121.7200,125.3600,hap
Ses05M_impro03,Ses05M_impro03_F013,127.3600,129.5400,hap
Ses05M_impro03,Ses05M_impro03_F014,141.0000,143.5800,exc
Ses05M_impro03,Ses05M_impro03_F015,144.4300,146.2400,exc
Ses05M_impro03,Ses05M_impro03_F016,151.5200,153.3600,hap
Ses05M_impro03,Ses05M_impro03_F017,154.3300,157.3900,hap
Ses05M_impro03,Ses05M_impro03_F018,158.1800,159.3300,exc
Ses05M_impro03,Ses05M_impro03_F019,159.7300,162.7000,exc
Ses05M_impro03,Ses05M_impro03_F020,165.7500,166.9100,hap
Ses05M_impro03,Ses05M_impro03_F021,168.0537,172.2800,hap
Ses05M_impro03,Ses05M_impro03_F022,172.3900,174.6200,hap
Ses05M_impro03,Ses05M_impro03_F023,184.7600,186.7200,exc
Ses05M_impro03,Ses05M_impro03_F024,186.9500,188.2700,xxx
Ses05M_impro03,Ses05M_impro03_F025,188.2800,190.6300,xxx
Ses05M_impro03,Ses05M_impro03_F026,194.2100,196.2700,neu
Ses05M_impro03,Ses05M_impro03_F027,200.5700,204.3000,neu
Ses05M_impro03,Ses05M_impro03_F028,207.0900,209.5200,xxx
Ses05M_impro03,Ses05M_impro03_F029,210.2900,212.3100,xxx
Ses05M_impro03,Ses05M_impro03_F030,215.0300,216.6500,neu
Ses05M_impro03,Ses05M_impro03_F031,217.5400,220.6500,hap
Ses05M_impro03,Ses05M_impro03_M000,5.1000,7.0500,exc
Ses05M_impro03,Ses05M_impro03_M001,7.7900,11.1200,exc
Ses05M_impro03,Ses05M_impro03_M002,11.4000,13.5200,exc
Ses05M_impro03,Ses05M_impro03_M003,13.5400,16.1200,exc
Ses05M_impro03,Ses05M_impro03_M004,18.0300,25.1000,hap
Ses05M_impro03,Ses05M_impro03_M005,25.1100,31.5700,xxx
Ses05M_impro03,Ses05M_impro03_M006,31.5800,44.0500,hap
Ses05M_impro03,Ses05M_impro03_M007,44.0600,54.6600,hap
Ses05M_impro03,Ses05M_impro03_M008,54.7000,65.1400,hap
Ses05M_impro03,Ses05M_impro03_M009,65.1600,78.3600,hap
Ses05M_impro03,Ses05M_impro03_M010,78.3900,89.5469,hap
Ses05M_impro03,Ses05M_impro03_M011,89.5569,103.3100,hap
Ses05M_impro03,Ses05M_impro03_M012,104.4300,111.7000,hap
Ses05M_impro03,Ses05M_impro03_M013,111.7100,115.2200,hap
Ses05M_impro03,Ses05M_impro03_M014,116.4700,123.1000,hap
Ses05M_impro03,Ses05M_impro03_M015,123.1100,127.7000,hap
Ses05M_impro03,Ses05M_impro03_M016,128.5600,141.3600,hap
Ses05M_impro03,Ses05M_impro03_M017,141.4200,146.0000,xxx
Ses05M_impro03,Ses05M_impro03_M018,146.0100,152.7500,hap
Ses05M_impro03,Ses05M_impro03_M019,153.0900,155.7900,neu
Ses05M_impro03,Ses05M_impro03_M020,156.5400,159.0400,exc
Ses05M_impro03,Ses05M_impro03_M021,159.0700,160.1900,exc
Ses05M_impro03,Ses05M_impro03_M022,161.4600,165.8500,xxx
Ses05M_impro03,Ses05M_impro03_M023,165.8600,167.4600,hap
Ses05M_impro03,Ses05M_impro03_M024,170.9500,174.5900,hap
Ses05M_impro03,Ses05M_impro03_M025,174.6000,182.7900,hap
Ses05M_impro03,Ses05M_impro03_M026,182.8000,185.9400,hap
Ses05M_impro03,Ses05M_impro03_M027,185.9700,188.8500,hap
Ses05M_impro03,Ses05M_impro03_M028,188.8800,195.1300,hap
Ses05M_impro03,Ses05M_impro03_M029,195.6700,202.6600,exc
Ses05M_impro03,Ses05M_impro03_M030,203.1900,210.5700,hap
Ses05M_impro03,Ses05M_impro03_M031,210.5800,215.2900,hap
Ses05M_impro03,Ses05M_impro03_M032,215.3000,219.1600,hap
Ses05M_impro03,Ses05M_impro03_M033,219.7500,221.9000,hap
Ses05F_impro03,Ses05F_impro03_F000,2.8098,4.5479,exc
Ses05F_impro03,Ses05F_impro03_F001,7.9600,9.8400,exc
Ses05F_impro03,Ses05F_impro03_F002,10.2000,11.3300,exc
Ses05F_impro03,Ses05F_impro03_F003,11.5800,12.7187,exc
Ses05F_impro03,Ses05F_impro03_F004,13.4800,14.6600,exc
Ses05F_impro03,Ses05F_impro03_F005,16.2500,18.1600,exc
Ses05F_impro03,Ses05F_impro03_F006,18.6200,20.5600,xxx
Ses05F_impro03,Ses05F_impro03_F007,24.0500,25.7600,exc
Ses05F_impro03,Ses05F_impro03_F008,26.0600,30.7700,exc
Ses05F_impro03,Ses05F_impro03_F009,30.9400,32.4700,exc
Ses05F_impro03,Ses05F_impro03_F010,33.6100,37.1900,xxx
