dataname,newdataname,newdatabegin,newdataend,newdataemotion
Ses03F_script03_2,Ses03F_script03_2_F000,13.8388,16.6100,xxx
Ses03F_script03_2,Ses03F_script03_2_F001,19.9700,23.8200,xxx
Ses03F_script03_2,Ses03F_script03_2_F002,28.2100,32.8600,xxx
Ses03F_script03_2,Ses03F_script03_2_F003,35.0700,40.5200,xxx
Ses03F_script03_2,Ses03F_script03_2_F004,45.3900,48.8425,neu
Ses03F_script03_2,Ses03F_script03_2_F005,50.5900,52.0650,xxx
Ses03F_script03_2,Ses03F_script03_2_F006,52.6500,55.9025,xxx
Ses03F_script03_2,Ses03F_script03_2_F007,56.7050,61.0900,xxx
Ses03F_script03_2,Ses03F_script03_2_F008,63.8825,66.3100,neu
Ses03F_script03_2,Ses03F_script03_2_F009,75.4000,78.3725,xxx
Ses03F_script03_2,Ses03F_script03_2_F010,84.7850,86.1650,xxx
Ses03F_script03_2,Ses03F_script03_2_F011,87.8625,91.2000,xxx
Ses03F_script03_2,Ses03F_script03_2_F012,93.7900,98.0400,xxx
Ses03F_script03_2,Ses03F_script03_2_F013,103.8975,106.0400,neu
Ses03F_script03_2,Ses03F_script03_2_F014,109.5700,111.4700,ang
Ses03F_script03_2,Ses03F_script03_2_F015,112.2400,113.6200,ang
Ses03F_script03_2,Ses03F_script03_2_F016,120.3100,124.6700,xxx
Ses03F_script03_2,Ses03F_script03_2_F017,127.4075,132.9500,neu
Ses03F_script03_2,Ses03F_script03_2_F018,137.0025,138.4200,ang
Ses03F_script03_2,Ses03F_script03_2_F019,138.8625,142.2500,xxx
Ses03F_script03_2,Ses03F_script03_2_F020,150.3100,153.9200,xxx
Ses03F_script03_2,Ses03F_script03_2_F021,155.9400,158.4625,fru
Ses03F_script03_2,Ses03F_script03_2_F022,161.8585,163.3200,fru
Ses03F_script03_2,Ses03F_script03_2_F023,163.6700,170.0200,ang
Ses03F_script03_2,Ses03F_script03_2_F024,177.9925,180.9500,xxx
Ses03F_script03_2,Ses03F_script03_2_F025,184.9300,187.5075,fru
Ses03F_script03_2,Ses03F_script03_2_F026,194.3200,198.1100,ang
Ses03F_script03_2,Ses03F_script03_2_F027,198.9675,200.9700,fru
Ses03F_script03_2,Ses03F_script03_2_F028,207.1450,212.2362,xxx
Ses03F_script03_2,Ses03F_script03_2_F029,214.6500,218.5425,fru
Ses03F_script03_2,Ses03F_script03_2_F030,221.9000,225.8411,fru
Ses03F_script03_2,Ses03F_script03_2_F031,235.9600,237.9500,xxx
Ses03F_script03_2,Ses03F_script03_2_F032,240.8800,245.4600,xxx
Ses03F_script03_2,Ses03F_script03_2_F033,247.0350,248.9800,xxx
Ses03F_script03_2,Ses03F_script03_2_F034,250.8575,253.3100,xxx
Ses03F_script03_2,Ses03F_script03_2_F035,254.4000,256.8000,ang
Ses03F_script03_2,Ses03F_script03_2_F036,261.4650,268.5400,xxx
Ses03F_script03_2,Ses03F_script03_2_F037,272.9175,276.5650,ang
Ses03F_script03_2,Ses03F_script03_2_F038,278.8800,285.5100,ang
Ses03F_script03_2,Ses03F_script03_2_F039,286.7100,292.2700,ang
Ses03F_script03_2,Ses03F_script03_2_F040,298.2300,302.6300,ang
Ses03F_script03_2,Ses03F_script03_2_F041,304.4437,306.0000,ang
Ses03F_script03_2,Ses03F_script03_2_F042,306.0000,316.7400,ang
Ses03F_script03_2,Ses03F_script03_2_F043,327.1750,331.1000,ang
Ses03F_script03_2,Ses03F_script03_2_M000,9.3056,14.3900,ang
Ses03F_script03_2,Ses03F_script03_2_M001,16.5000,20.4600,ang
Ses03F_script03_2,Ses03F_script03_2_M002,23.2100,28.9000,ang
Ses03F_script03_2,Ses03F_script03_2_M003,32.1900,35.7200,xxx
Ses03F_script03_2,Ses03F_script03_2_M004,42.3800,45.5200,xxx
Ses03F_script03_2,Ses03F_script03_2_M005,48.4250,51.1000,ang
Ses03F_script03_2,Ses03F_script03_2_M006,51.5900,53.3000,xxx
Ses03F_script03_2,Ses03F_script03_2_M007,55.4150,57.2475,ang
Ses03F_script03_2,Ses03F_script03_2_M008,60.6850,64.3750,ang
Ses03F_script03_2,Ses03F_script03_2_M009,73.0200,75.7200,neu
Ses03F_script03_2,Ses03F_script03_2_M010,79.9900,85.2100,neu
Ses03F_script03_2,Ses03F_script03_2_M011,86.1500,88.4400,neu
Ses03F_script03_2,Ses03F_script03_2_M012,90.7625,94.2950,neu
Ses03F_script03_2,Ses03F_script03_2_M013,97.4400,104.3350,xxx
Ses03F_script03_2,Ses03F_script03_2_M014,105.4700,110.3400,ang
Ses03F_script03_2,Ses03F_script03_2_M015,110.9875,112.6200,ang
Ses03F_script03_2,Ses03F_script03_2_M016,113.9625,115.0850,ang
Ses03F_script03_2,Ses03F_script03_2_M017,118.2350,120.4650,ang
Ses03F_script03_2,Ses03F_script03_2_M018,124.3400,128.0300,xxx
Ses03F_script03_2,Ses03F_script03_2_M019,133.3900,136.3650,xxx
Ses03F_script03_2,Ses03F_script03_2_M020,137.9200,139.3100,ang
Ses03F_script03_2,Ses03F_script03_2_M021,145.6300,150.9300,xxx
Ses03F_script03_2,Ses03F_script03_2_M022,153.1850,156.3475,xxx
Ses03F_script03_2,Ses03F_script03_2_M023,157.8075,162.2025,xxx
Ses03F_script03_2,Ses03F_script03_2_M024,162.9400,164.1200,ang
Ses03F_script03_2,Ses03F_script03_2_M025,170.7300,173.0700,xxx
Ses03F_script03_2,Ses03F_script03_2_M026,174.1875,178.8700,ang
Ses03F_script03_2,Ses03F_script03_2_M027,180.6400,185.3875,ang
Ses03F_script03_2,Ses03F_script03_2_M028,187.0375,194.7300,ang
Ses03F_script03_2,Ses03F_script03_2_M029,197.3075,199.6900,ang
Ses03F_script03_2,Ses03F_script03_2_M030,200.5200,207.5800,ang
Ses03F_script03_2,Ses03F_script03_2_M031,211.2300,222.0875,xxx
Ses03F_script03_2,Ses03F_script03_2_M032,232.4100,235.6300,xxx
Ses03F_script03_2,Ses03F_script03_2_M033,238.0575,241.3500,xxx
Ses03F_script03_2,Ses03F_script03_2_M034,244.7800,247.4375,ang
Ses03F_script03_2,Ses03F_script03_2_M035,248.9800,251.3625,neu
Ses03F_script03_2,Ses03F_script03_2_M036,252.0725,254.0900,xxx
