dataname,newdataname,newdatabegin,newdataend,newdataemotion
Ses01F_script02_1,Ses01F_script02_1_F000,15.1400,17.2100,neu
Ses01F_script02_1,Ses01F_script02_1_F001,25.9100,27.4125,fru
Ses01F_script02_1,Ses01F_script02_1_F002,38.9900,40.0500,xxx
Ses01F_script02_1,Ses01F_script02_1_F003,45.0600,47.0300,sur
Ses01F_script02_1,Ses01F_script02_1_F004,49.2200,51.4000,neu
Ses01F_script02_1,Ses01F_script02_1_F005,51.8700,54.2300,xxx
Ses01F_script02_1,Ses01F_script02_1_F006,54.7200,57.6900,ang
Ses01F_script02_1,Ses01F_script02_1_F007,57.7500,59.5700,ang
Ses01F_script02_1,Ses01F_script02_1_F008,76.2700,77.6400,neu
Ses01F_script02_1,Ses01F_script02_1_F009,101.7200,103.5025,hap
Ses01F_script02_1,Ses01F_script02_1_F010,110.7700,112.6900,sad
Ses01F_script02_1,Ses01F_script02_1_F011,113.7900,115.9800,xxx
Ses01F_script02_1,Ses01F_script02_1_F012,121.6500,123.2300,xxx
Ses01F_script02_1,Ses01F_script02_1_F013,124.0500,126.0400,xxx
Ses01F_script02_1,Ses01F_script02_1_F014,127.4400,129.3900,fru
Ses01F_script02_1,Ses01F_script02_1_F015,137.2900,139.6146,neu
Ses01F_script02_1,Ses01F_script02_1_F016,140.5000,143.0700,xxx
Ses01F_script02_1,Ses01F_script02_1_F017,154.9000,163.9900,fru
Ses01F_script02_1,Ses01F_script02_1_F018,180.6769,189.4500,xxx
Ses01F_script02_1,Ses01F_script02_1_F019,189.9300,191.5900,fru
Ses01F_script02_1,Ses01F_script02_1_F020,208.3800,210.2000,xxx
Ses01F_script02_1,Ses01F_script02_1_F021,210.6400,211.9200,fru
Ses01F_script02_1,Ses01F_script02_1_F022,224.5800,237.0050,xxx
Ses01F_script02_1,Ses01F_script02_1_F023,238.1400,240.7300,fru
Ses01F_script02_1,Ses01F_script02_1_F024,321.2100,323.8200,neu
Ses01F_script02_1,Ses01F_script02_1_F025,326.5600,329.0300,neu
Ses01F_script02_1,Ses01F_script02_1_M000,1.8151,9.0350,xxx
Ses01F_script02_1,Ses01F_script02_1_M001,9.0925,15.6200,xxx
Ses01F_script02_1,Ses01F_script02_1_M002,16.9600,20.0000,exc
Ses01F_script02_1,Ses01F_script02_1_M003,20.0500,26.6500,xxx
Ses01F_script02_1,Ses01F_script02_1_M004,27.1300,35.7987,xxx
Ses01F_script02_1,Ses01F_script02_1_M005,35.8990,39.4800,xxx
Ses01F_script02_1,Ses01F_script02_1_M006,39.5000,45.4500,xxx
Ses01F_script02_1,Ses01F_script02_1_M007,46.4200,49.9500,neu
Ses01F_script02_1,Ses01F_script02_1_M008,50.8500,52.4000,neu
Ses01F_script02_1,Ses01F_script02_1_M009,53.7600,55.4800,neu
Ses01F_script02_1,Ses01F_script02_1_M010,57.2900,58.4200,neu
Ses01F_script02_1,Ses01F_script02_1_M011,58.8800,65.6016,neu
Ses01F_script02_1,Ses01F_script02_1_M012,65.7270,73.0100,fru
Ses01F_script02_1,Ses01F_script02_1_M013,73.1527,77.1400,neu
Ses01F_script02_1,Ses01F_script02_1_M014,77.1900,87.6779,neu
Ses01F_script02_1,Ses01F_script02_1_M015,87.8250,94.5265,neu
Ses01F_script02_1,Ses01F_script02_1_M016,94.6400,100.4000,exc
Ses01F_script02_1,Ses01F_script02_1_M017,104.2500,111.2300,xxx
Ses01F_script02_1,Ses01F_script02_1_M018,112.1900,114.3500,fru
Ses01F_script02_1,Ses01F_script02_1_M019,115.8753,121.9194,xxx
Ses01F_script02_1,Ses01F_script02_1_M020,122.7000,124.5900,neu
Ses01F_script02_1,Ses01F_script02_1_M021,125.7500,127.9600,neu
Ses01F_script02_1,Ses01F_script02_1_M022,128.8000,137.7400,fru
Ses01F_script02_1,Ses01F_script02_1_M023,139.1100,141.0400,neu
Ses01F_script02_1,Ses01F_script02_1_M024,142.7800,155.6400,neu
Ses01F_script02_1,Ses01F_script02_1_M025,163.1900,176.2823,neu
Ses01F_script02_1,Ses01F_script02_1_M026,176.3975,181.5500,neu
